seed,seq_len,vocab_size,attention_type,positional_mode,drop_positions_step,label_mode,n_layers,d_model,n_heads,d_ff,steps_per_eval,max_evals,patience,warmup_steps,trained_steps,best_eval_idx,batch_size,lr,weight_decay,eval_batches,amp,eval_acc
0,128,128,bidirectional,none,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,bidirectional,learned_abs,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,bidirectional,learned_abs,2,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,bidirectional,rotary,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,bidirectional,rotary,2,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,causal,none,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,causal,learned_abs,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,causal,learned_abs,2,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,causal,rotary,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,causal,rotary,2,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,dual_triangle,none,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,dual_triangle,learned_abs,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,dual_triangle,learned_abs,2,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,dual_triangle,rotary,-1,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,dual_triangle,rotary,2,true,1,32,1,96,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,bidirectional,learned_abs,-1,random,1,32,2,128,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,causal,learned_abs,-1,random,1,32,2,128,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
0,128,128,dual_triangle,learned_abs,-1,random,1,32,2,128,1,1,3,1,1,0,32,0.001,0.01,1,0,0.0
