"Step","s33_dual_triangle_rotary_drop-1 - train/loss","s33_dual_triangle_rotary_drop-1 - train/loss__MIN","s33_dual_triangle_rotary_drop-1 - train/loss__MAX","s33_dual_triangle_rotary_drop700000000 - train/loss","s33_dual_triangle_rotary_drop700000000 - train/loss__MIN","s33_dual_triangle_rotary_drop700000000 - train/loss__MAX","s33_dual_triangle_none_drop-1 - train/loss","s33_dual_triangle_none_drop-1 - train/loss__MIN","s33_dual_triangle_none_drop-1 - train/loss__MAX","s33_causal_rotary_drop-1 - train/loss","s33_causal_rotary_drop-1 - train/loss__MIN","s33_causal_rotary_drop-1 - train/loss__MAX","s33_causal_rotary_drop700000000 - train/loss","s33_causal_rotary_drop700000000 - train/loss__MIN","s33_causal_rotary_drop700000000 - train/loss__MAX","s33_causal_none_drop-1 - train/loss","s33_causal_none_drop-1 - train/loss__MIN","s33_causal_none_drop-1 - train/loss__MAX","s33_bidirectional_rotary_drop-1 - train/loss","s33_bidirectional_rotary_drop-1 - train/loss__MIN","s33_bidirectional_rotary_drop-1 - train/loss__MAX","s33_bidirectional_rotary_drop700000000 - train/loss","s33_bidirectional_rotary_drop700000000 - train/loss__MIN","s33_bidirectional_rotary_drop700000000 - train/loss__MAX","s33_bidirectional_none_drop-1 - train/loss","s33_bidirectional_none_drop-1 - train/loss__MIN","s33_bidirectional_none_drop-1 - train/loss__MAX","s22_dual_triangle_rotary_drop-1 - train/loss","s22_dual_triangle_rotary_drop-1 - train/loss__MIN","s22_dual_triangle_rotary_drop-1 - train/loss__MAX","s22_dual_triangle_rotary_drop700000000 - train/loss","s22_dual_triangle_rotary_drop700000000 - train/loss__MIN","s22_dual_triangle_rotary_drop700000000 - train/loss__MAX","s22_dual_triangle_none_drop-1 - train/loss","s22_dual_triangle_none_drop-1 - train/loss__MIN","s22_dual_triangle_none_drop-1 - train/loss__MAX","s22_causal_rotary_drop-1 - train/loss","s22_causal_rotary_drop-1 - train/loss__MIN","s22_causal_rotary_drop-1 - train/loss__MAX","s22_causal_rotary_drop700000000 - train/loss","s22_causal_rotary_drop700000000 - train/loss__MIN","s22_causal_rotary_drop700000000 - train/loss__MAX","s22_causal_none_drop-1 - train/loss","s22_causal_none_drop-1 - train/loss__MIN","s22_causal_none_drop-1 - train/loss__MAX","s22_bidirectional_rotary_drop-1 - train/loss","s22_bidirectional_rotary_drop-1 - train/loss__MIN","s22_bidirectional_rotary_drop-1 - train/loss__MAX","s22_bidirectional_rotary_drop700000000 - train/loss","s22_bidirectional_rotary_drop700000000 - train/loss__MIN","s22_bidirectional_rotary_drop700000000 - train/loss__MAX","s22_bidirectional_none_drop-1 - train/loss","s22_bidirectional_none_drop-1 - train/loss__MIN","s22_bidirectional_none_drop-1 - train/loss__MAX","s11_dual_triangle_rotary_drop-1 - train/loss","s11_dual_triangle_rotary_drop-1 - train/loss__MIN","s11_dual_triangle_rotary_drop-1 - train/loss__MAX","s11_dual_triangle_rotary_drop700000000 - train/loss","s11_dual_triangle_rotary_drop700000000 - train/loss__MIN","s11_dual_triangle_rotary_drop700000000 - train/loss__MAX","s11_dual_triangle_none_drop-1 - train/loss","s11_dual_triangle_none_drop-1 - train/loss__MIN","s11_dual_triangle_none_drop-1 - train/loss__MAX","s11_causal_rotary_drop-1 - train/loss","s11_causal_rotary_drop-1 - train/loss__MIN","s11_causal_rotary_drop-1 - train/loss__MAX","s11_causal_rotary_drop700000000 - train/loss","s11_causal_rotary_drop700000000 - train/loss__MIN","s11_causal_rotary_drop700000000 - train/loss__MAX","s11_causal_none_drop-1 - train/loss","s11_causal_none_drop-1 - train/loss__MIN","s11_causal_none_drop-1 - train/loss__MAX","s11_bidirectional_rotary_drop-1 - train/loss","s11_bidirectional_rotary_drop-1 - train/loss__MIN","s11_bidirectional_rotary_drop-1 - train/loss__MAX","s11_bidirectional_rotary_drop700000000 - train/loss","s11_bidirectional_rotary_drop700000000 - train/loss__MIN","s11_bidirectional_rotary_drop700000000 - train/loss__MAX","s11_bidirectional_none_drop-1 - train/loss","s11_bidirectional_none_drop-1 - train/loss__MIN","s11_bidirectional_none_drop-1 - train/loss__MAX"
"100","3.40296875","3.40296875","3.40296875","3.40296875","3.40296875","3.40296875","3.40296875","3.40296875","3.40296875","3.40234375","3.40234375","3.40234375","3.40234375","3.40234375","3.40234375","3.4028125","3.4028125","3.4028125","3.40171875","3.40171875","3.40171875","3.40171875","3.40171875","3.40171875","3.4021875","3.4021875","3.4021875","3.44859375","3.44859375","3.44859375","3.44859375","3.44859375","3.44859375","3.4484375","3.4484375","3.4484375","3.44703125","3.44703125","3.44703125","3.44703125","3.44703125","3.44703125","3.4471875","3.4471875","3.4471875","3.44703125","3.44703125","3.44703125","3.44703125","3.44703125","3.44703125","3.4471875","3.4471875","3.4471875","3.40515625","3.40515625","3.40515625","3.40515625","3.40515625","3.40515625","3.4059375","3.4059375","3.4059375","3.4078125","3.4078125","3.4078125","3.408125","3.408125","3.408125","3.409375","3.409375","3.409375","3.40484375","3.40484375","3.40484375","3.40484375","3.40484375","3.40484375","3.40625","3.40625","3.40625"
"200","2.895625","2.895625","2.895625","2.895625","2.895625","2.895625","2.895625","2.895625","2.895625","2.89140625","2.89140625","2.89140625","2.8915625","2.8915625","2.8915625","2.89125","2.89125","2.89125","2.894375","2.894375","2.894375","2.894375","2.894375","2.894375","2.8940625","2.8940625","2.8940625","2.90734375","2.90734375","2.90734375","2.90734375","2.90734375","2.90734375","2.906875","2.906875","2.906875","2.90625","2.90625","2.90625","2.90625","2.90625","2.90625","2.90625","2.90625","2.90625","2.9053125","2.9053125","2.9053125","2.9053125","2.9053125","2.9053125","2.90546875","2.90546875","2.90546875","2.894375","2.894375","2.894375","2.894375","2.894375","2.894375","2.89421875","2.89421875","2.89421875","2.89109375","2.89109375","2.89109375","2.8909375","2.8909375","2.8909375","2.8915625","2.8915625","2.8915625","2.89453125","2.89453125","2.89453125","2.89453125","2.89453125","2.89453125","2.89484375","2.89484375","2.89484375"
"300","2.71234375","2.71234375","2.71234375","2.7125","2.7125","2.7125","2.7128125","2.7128125","2.7128125","2.709375","2.709375","2.709375","2.70921875","2.70921875","2.70921875","2.70921875","2.70921875","2.70921875","2.718125","2.718125","2.718125","2.718125","2.718125","2.718125","2.71796875","2.71796875","2.71796875","2.7153125","2.7153125","2.7153125","2.7153125","2.7153125","2.7153125","2.71546875","2.71546875","2.71546875","2.715625","2.715625","2.715625","2.715625","2.715625","2.715625","2.71515625","2.71515625","2.71515625","2.7228125","2.7228125","2.7228125","2.7228125","2.7228125","2.7228125","2.72265625","2.72265625","2.72265625","2.71296875","2.71296875","2.71296875","2.7128125","2.7128125","2.7128125","2.71234375","2.71234375","2.71234375","2.71125","2.71125","2.71125","2.71140625","2.71140625","2.71140625","2.7109375","2.7109375","2.7109375","2.71828125","2.71828125","2.71828125","2.71828125","2.71828125","2.71828125","2.7175","2.7175","2.7175"
"400","2.67453125","2.67453125","2.67453125","2.6746875","2.6746875","2.6746875","2.6746875","2.6746875","2.6746875","2.67625","2.67625","2.67625","2.67609375","2.67609375","2.67609375","2.6759375","2.6759375","2.6759375","2.68359375","2.68359375","2.68359375","2.68359375","2.68359375","2.68359375","2.6834375","2.6834375","2.6834375","2.6775","2.6775","2.6775","2.6775","2.6775","2.6775","2.6775","2.6775","2.6775","2.67984375","2.67984375","2.67984375","2.68","2.68","2.68","2.68","2.68","2.68","2.6875","2.6875","2.6875","2.6875","2.6875","2.6875","2.68734375","2.68734375","2.68734375","2.6709375","2.6709375","2.6709375","2.67078125","2.67078125","2.67078125","2.67","2.67","2.67","2.67359375","2.67359375","2.67359375","2.67359375","2.67359375","2.67359375","2.67359375","2.67359375","2.67359375","2.67984375","2.67984375","2.67984375","2.67984375","2.67984375","2.67984375","2.67921875","2.67921875","2.67921875"
"500","2.655625","2.655625","2.655625","2.65578125","2.65578125","2.65578125","2.65546875","2.65546875","2.65546875","2.6603125","2.6603125","2.6603125","2.66015625","2.66015625","2.66015625","2.66015625","2.66015625","2.66015625","2.6634375","2.6634375","2.6634375","2.6634375","2.6634375","2.6634375","2.6634375","2.6634375","2.6634375","2.6575","2.6575","2.6575","2.6575","2.6575","2.6575","2.65734375","2.65734375","2.65734375","2.6640625","2.6640625","2.6640625","2.66421875","2.66421875","2.66421875","2.66390625","2.66390625","2.66390625","2.6684375","2.6684375","2.6684375","2.6684375","2.6684375","2.6684375","2.66828125","2.66828125","2.66828125","2.65296875","2.65296875","2.65296875","2.65328125","2.65328125","2.65328125","2.653125","2.653125","2.653125","2.66171875","2.66171875","2.66171875","2.66171875","2.66171875","2.66171875","2.66171875","2.66171875","2.66171875","2.6634375","2.6634375","2.6634375","2.6634375","2.6634375","2.6634375","2.66328125","2.66328125","2.66328125"
"600","2.644375","2.644375","2.644375","2.644375","2.644375","2.644375","2.644375","2.644375","2.644375","2.65578125","2.65578125","2.65578125","2.65578125","2.65578125","2.65578125","2.6559375","2.6559375","2.6559375","2.65765625","2.65765625","2.65765625","2.65765625","2.65765625","2.65765625","2.6571875","2.6571875","2.6571875","2.64546875","2.64546875","2.64546875","2.64546875","2.64546875","2.64546875","2.645","2.645","2.645","2.65453125","2.65453125","2.65453125","2.6546875","2.6546875","2.6546875","2.65484375","2.65484375","2.65484375","2.65671875","2.65671875","2.65671875","2.65671875","2.65671875","2.65671875","2.65625","2.65625","2.65625","2.645","2.645","2.645","2.645","2.645","2.645","2.645","2.645","2.645","2.65625","2.65625","2.65625","2.65625","2.65625","2.65625","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375","2.65609375"
"700","2.64234375","2.64234375","2.64234375","2.6421875","2.6421875","2.6421875","2.6421875","2.6421875","2.6421875","2.6540625","2.6540625","2.6540625","2.65390625","2.65390625","2.65390625","2.65390625","2.65390625","2.65390625","2.65453125","2.65453125","2.65453125","2.65453125","2.65453125","2.65453125","2.65453125","2.65453125","2.65453125","2.64328125","2.64328125","2.64328125","2.6434375","2.6434375","2.6434375","2.643125","2.643125","2.643125","2.65359375","2.65359375","2.65359375","2.65375","2.65375","2.65375","2.65359375","2.65359375","2.65359375","2.653125","2.653125","2.653125","2.653125","2.653125","2.653125","2.653125","2.653125","2.653125","2.64296875","2.64296875","2.64296875","2.64296875","2.64296875","2.64296875","2.643125","2.643125","2.643125","2.65015625","2.65015625","2.65015625","2.65","2.65","2.65","2.64984375","2.64984375","2.64984375","2.65359375","2.65359375","2.65359375","2.65359375","2.65359375","2.65359375","2.65359375","2.65359375","2.65359375"
"800","2.64109375","2.64109375","2.64109375","2.64109375","2.64109375","2.64109375","2.640625","2.640625","2.640625","2.6515625","2.6515625","2.6515625","2.6515625","2.6515625","2.6515625","2.6515625","2.6515625","2.6515625","2.65109375","2.65109375","2.65109375","2.65109375","2.65109375","2.65109375","2.65125","2.65125","2.65125","2.638125","2.638125","2.638125","2.63828125","2.63828125","2.63828125","2.63796875","2.63796875","2.63796875","2.64859375","2.64859375","2.64859375","2.64875","2.64875","2.64875","2.64890625","2.64890625","2.64890625","2.65328125","2.65328125","2.65328125","2.65328125","2.65328125","2.65328125","2.65328125","2.65328125","2.65328125","2.6396875","2.6396875","2.6396875","2.6396875","2.6396875","2.6396875","2.63953125","2.63953125","2.63953125","2.65140625","2.65140625","2.65140625","2.65140625","2.65140625","2.65140625","2.65140625","2.65140625","2.65140625","2.65296875","2.65296875","2.65296875","2.65296875","2.65296875","2.65296875","2.653125","2.653125","2.653125"
"900","2.63515625","2.63515625","2.63515625","2.63515625","2.63515625","2.63515625","2.63515625","2.63515625","2.63515625","2.64890625","2.64890625","2.64890625","2.64890625","2.64890625","2.64890625","2.64890625","2.64890625","2.64890625","2.649375","2.649375","2.649375","2.649375","2.649375","2.649375","2.64953125","2.64953125","2.64953125","2.6325","2.6325","2.6325","2.63265625","2.63265625","2.63265625","2.63296875","2.63296875","2.63296875","2.65109375","2.65109375","2.65109375","2.65109375","2.65109375","2.65109375","2.65109375","2.65109375","2.65109375","2.6503125","2.6503125","2.6503125","2.6503125","2.6503125","2.6503125","2.65046875","2.65046875","2.65046875","2.63546875","2.63546875","2.63546875","2.63546875","2.63546875","2.63546875","2.63515625","2.63515625","2.63515625","2.65171875","2.65171875","2.65171875","2.651875","2.651875","2.651875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875","2.65171875"
"1000","2.753984375","2.753984375","2.753984375","2.754015625","2.754015625","2.754015625","2.753953125","2.753953125","2.753953125","2.759578125","2.759578125","2.759578125","2.759515625","2.759515625","2.759515625","2.759578125","2.759578125","2.759578125","2.76215625","2.76215625","2.76215625","2.76215625","2.76215625","2.76215625","2.762171875","2.762171875","2.762171875","2.760109375","2.760109375","2.760109375","2.76015625","2.76015625","2.76015625","2.76003125","2.76003125","2.76003125","2.76665625","2.76665625","2.76665625","2.76675","2.76675","2.76675","2.766703125","2.766703125","2.766703125","2.769546875","2.769546875","2.769546875","2.769546875","2.769546875","2.769546875","2.76953125","2.76953125","2.76953125","2.753203125","2.753203125","2.753203125","2.75321875","2.75321875","2.75321875","2.7530625","2.7530625","2.7530625","2.760390625","2.760390625","2.760390625","2.760421875","2.760421875","2.760421875","2.760515625","2.760515625","2.760515625","2.762359375","2.762359375","2.762359375","2.762359375","2.762359375","2.762359375","2.762421875","2.762421875","2.762421875"
