phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,train,0,1000,39601271,2.762421875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,0,1000,39601271,2.625,bidirectional,none,-1,768,12,64,11,0.2008165734159988,0.2008165734159988,0.1410110589545539
protein,valid_long,0,1000,39601271,2.6171875,bidirectional,none,-1,768,12,64,11,0.20282774071870688,0.20282774071870688,0.1430160435020948
protein,train,1,2000,79271237,2.644296875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,1,2000,79271237,2.609375,bidirectional,none,-1,768,12,64,11,0.2017075773745998,0.2017075773745998,0.14240628544105172
protein,valid_long,1,2000,79271237,2.609375,bidirectional,none,-1,768,12,64,11,0.20016041351038233,0.20016041351038233,0.14105435634693528
protein,train,2,3000,118887464,2.639890625,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,2,3000,118887464,2.6171875,bidirectional,none,-1,768,12,64,11,0.19844020797227035,0.19844020797227035,0.13780512537845735
protein,valid_long,2,3000,118887464,2.609375,bidirectional,none,-1,768,12,64,11,0.1991988160849153,0.1991988160849153,0.13811467427528573
protein,train,3,4000,158506944,2.63721875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,3,4000,158506944,2.609375,bidirectional,none,-1,768,12,64,11,0.2000202449640652,0.2000202449640652,0.13965523210667274
protein,valid_long,3,4000,158506944,2.609375,bidirectional,none,-1,768,12,64,11,0.19935087338197524,0.19935087338197524,0.13768307462837823
protein,train,4,5000,198135791,2.636296875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,4,5000,198135791,2.6015625,bidirectional,none,-1,768,12,64,11,0.20696324951644102,0.20696324951644102,0.14388924103284464
protein,valid_long,4,5000,198135791,2.6171875,bidirectional,none,-1,768,12,64,11,0.19651296461872525,0.19651296461872525,0.13544501203015674
protein,train,5,6000,237713489,2.636078125,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,5,6000,237713489,2.6171875,bidirectional,none,-1,768,12,64,11,0.19972584657562065,0.19972584657562065,0.13844943078658722
protein,valid_long,5,6000,237713489,2.609375,bidirectional,none,-1,768,12,64,11,0.20190072039335763,0.20190072039335763,0.13937386766482293
protein,train,6,7000,277317608,2.6370625,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,6,7000,277317608,2.6171875,bidirectional,none,-1,768,12,64,11,0.20093622590224997,0.20093622590224997,0.14104651044709593
protein,valid_long,6,7000,277317608,2.609375,bidirectional,none,-1,768,12,64,11,0.2033623041299245,0.2033623041299245,0.14310592007557268
protein,train,7,8000,316873237,2.6356875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,7,8000,316873237,2.609375,bidirectional,none,-1,768,12,64,11,0.20032367369645476,0.20032367369645476,0.1400599020741913
protein,valid_long,7,8000,316873237,2.6015625,bidirectional,none,-1,768,12,64,11,0.2024190679473497,0.2024190679473497,0.14296122703933353
protein,train,8,9000,356507531,2.6355625,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,8,9000,356507531,2.609375,bidirectional,none,-1,768,12,64,11,0.20349931336147703,0.20349931336147703,0.14224205664769832
protein,valid_long,8,9000,356507531,2.6015625,bidirectional,none,-1,768,12,64,11,0.20131500146536016,0.20131500146536016,0.14032055795775625
protein,train,9,10000,396143532,2.634546875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,9,10000,396143532,2.609375,bidirectional,none,-1,768,12,64,11,0.20352378555247924,0.20352378555247924,0.1420002564255278
protein,valid_long,9,10000,396143532,2.6015625,bidirectional,none,-1,768,12,64,11,0.20278127663905748,0.20278127663905748,0.1419924627203822
protein,train,10,11000,435778347,2.63409375,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,10,11000,435778347,2.609375,bidirectional,none,-1,768,12,64,11,0.19785221171055997,0.19785221171055997,0.13677733351674298
protein,valid_long,10,11000,435778347,2.609375,bidirectional,none,-1,768,12,64,11,0.1999668781370226,0.1999668781370226,0.13878113518957794
protein,train,11,12000,475451418,2.63384375,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,11,12000,475451418,2.6015625,bidirectional,none,-1,768,12,64,11,0.1999797180813305,0.1999797180813305,0.139837413569446
protein,valid_long,11,12000,475451418,2.609375,bidirectional,none,-1,768,12,64,11,0.19970947642044368,0.19970947642044368,0.13946084282461024
protein,train,12,13000,515055043,2.63384375,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,12,13000,515055043,2.609375,bidirectional,none,-1,768,12,64,11,0.19893709438397467,0.19893709438397467,0.14020078771371147
protein,valid_long,12,13000,515055043,2.6015625,bidirectional,none,-1,768,12,64,11,0.20043133701713864,0.20043133701713864,0.13977574968722123
protein,train,13,14000,554698855,2.634453125,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,13,14000,554698855,2.609375,bidirectional,none,-1,768,12,64,11,0.2007358953393295,0.2007358953393295,0.1397628506068109
protein,valid_long,13,14000,554698855,2.609375,bidirectional,none,-1,768,12,64,11,0.20053492963128064,0.20053492963128064,0.1397353058328925
protein,train,14,15000,594251982,2.634171875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,14,15000,594251982,2.609375,bidirectional,none,-1,768,12,64,11,0.2029359655783346,0.2029359655783346,0.1410959515946778
protein,valid_long,14,15000,594251982,2.609375,bidirectional,none,-1,768,12,64,11,0.19955211156493746,0.19955211156493746,0.13927159599058592
protein,train,15,16000,633868779,2.633828125,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,15,16000,633868779,2.6015625,bidirectional,none,-1,768,12,64,11,0.20247681174192234,0.20247681174192234,0.14264114387609253
protein,valid_long,15,16000,633868779,2.59375,bidirectional,none,-1,768,12,64,11,0.20435244161358812,0.20435244161358812,0.14287562821172298
protein,train,16,17000,673525684,2.633546875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,16,17000,673525684,2.6171875,bidirectional,none,-1,768,12,64,11,0.19809081266730644,0.19809081266730644,0.137962221899579
protein,valid_long,16,17000,673525684,2.609375,bidirectional,none,-1,768,12,64,11,0.20060971737059383,0.20060971737059383,0.13975921213739934
protein,train,17,18000,713212112,2.634046875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,17,18000,713212112,2.6171875,bidirectional,none,-1,768,12,64,11,0.19888570844408096,0.19888570844408096,0.13816735627911433
protein,valid_long,17,18000,713212112,2.6015625,bidirectional,none,-1,768,12,64,11,0.19974325080075245,0.19974325080075245,0.13943756741121455
protein,train,18,19000,752794869,2.634859375,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,18,19000,752794869,2.6171875,bidirectional,none,-1,768,12,64,11,0.20008106601813852,0.20008106601813852,0.13871827613047594
protein,valid_long,18,19000,752794869,2.609375,bidirectional,none,-1,768,12,64,11,0.20062533228689333,0.20062533228689333,0.13993810334269974
protein,train,19,20000,792399283,2.634375,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,19,20000,792399283,2.6171875,bidirectional,none,-1,768,12,64,11,0.19654048633742793,0.19654048633742793,0.1341939850456706
protein,valid_long,19,20000,792399283,2.609375,bidirectional,none,-1,768,12,64,11,0.2013949765598201,0.2013949765598201,0.13928058861391843
protein,train,20,21000,832042000,2.63334375,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,20,21000,832042000,2.625,bidirectional,none,-1,768,12,64,11,0.19535310302659736,0.19535310302659736,0.13385860357762733
protein,valid_long,20,21000,832042000,2.6015625,bidirectional,none,-1,768,12,64,11,0.20180585187442854,0.20180585187442854,0.14077219556807904
protein,train,21,22000,871698306,2.63384375,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,21,22000,871698306,2.609375,bidirectional,none,-1,768,12,64,11,0.1999181711246356,0.1999181711246356,0.1382263959055635
protein,valid_long,21,22000,871698306,2.609375,bidirectional,none,-1,768,12,64,11,0.20107313599837248,0.20107313599837248,0.13946211091893604
protein,train,22,23000,911298736,2.634125,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,22,23000,911298736,2.609375,bidirectional,none,-1,768,12,64,11,0.1991882449650637,0.1991882449650637,0.13698235365556627
protein,valid_long,22,23000,911298736,2.609375,bidirectional,none,-1,768,12,64,11,0.2007027460566016,0.2007027460566016,0.13928851404426754
protein,train,23,24000,950970623,2.63340625,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,23,24000,950970623,2.6171875,bidirectional,none,-1,768,12,64,11,0.19976432011476586,0.19976432011476586,0.13686283793875043
protein,valid_long,23,24000,950970623,2.609375,bidirectional,none,-1,768,12,64,11,0.19980216351946026,0.19980216351946026,0.1378891763010083
protein,train,24,25000,990557045,2.632875,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,24,25000,990557045,2.609375,bidirectional,none,-1,768,12,64,11,0.19954996420169785,0.19954996420169785,0.13735064963858518
protein,valid_long,24,25000,990557045,2.609375,bidirectional,none,-1,768,12,64,11,0.20120544873020121,0.20120544873020121,0.13889434595972944
protein,train,25,25239,1000033895,2.631537656903766,bidirectional,none,-1,768,12,64,11,,,
protein,valid_short,25,25239,1000033895,2.6015625,bidirectional,none,-1,768,12,64,11,0.20323548863000457,0.20323548863000457,0.14162780483939297
protein,valid_long,25,25239,1000033895,2.609375,bidirectional,none,-1,768,12,64,11,0.20117399994939655,0.20117399994939655,0.13964643320918313
protein,train,0,1000,39601271,2.760515625,causal,none,-1,768,12,64,11,,,
protein,valid_short,0,1000,39601271,2.625,causal,none,-1,768,12,64,11,0.1993006993006993,0.1993006993006993,0.1386769631392814
protein,valid_long,0,1000,39601271,2.640625,causal,none,-1,768,12,64,11,0.19665857162837416,0.19665857162837416,0.1353715071623267
protein,train,1,2000,79271237,2.639390625,causal,none,-1,768,12,64,11,,,
protein,valid_short,1,2000,79271237,2.6171875,causal,none,-1,768,12,64,11,0.20181567807415718,0.20181567807415718,0.14067165661580985
protein,valid_long,1,2000,79271237,2.6171875,causal,none,-1,768,12,64,11,0.20003060326689875,0.20003060326689875,0.13792595474605113
protein,train,2,3000,118887464,2.63153125,causal,none,-1,768,12,64,11,,,
protein,valid_short,2,3000,118887464,2.6171875,causal,none,-1,768,12,64,11,0.20102180181091608,0.20102180181091608,0.14232825548586445
protein,valid_long,2,3000,118887464,2.609375,causal,none,-1,768,12,64,11,0.20065860573927857,0.20065860573927857,0.14104996274696394
protein,train,3,4000,158506944,2.62415625,causal,none,-1,768,12,64,11,,,
protein,valid_short,3,4000,158506944,2.6171875,causal,none,-1,768,12,64,11,0.19841993315101794,0.19841993315101794,0.1393925714437
protein,valid_long,3,4000,158506944,2.6015625,causal,none,-1,768,12,64,11,0.20025785368718008,0.20025785368718008,0.13933159558567818
protein,train,4,5000,198135791,2.62090625,causal,none,-1,768,12,64,11,,,
protein,valid_short,4,5000,198135791,2.609375,causal,none,-1,768,12,64,11,0.2048723662884927,0.2048723662884927,0.14330467959006113
protein,valid_long,4,5000,198135791,2.6015625,causal,none,-1,768,12,64,11,0.20372042163083143,0.20372042163083143,0.14359705203689418
protein,train,5,6000,237713489,2.61884375,causal,none,-1,768,12,64,11,,,
protein,valid_short,5,6000,237713489,2.59375,causal,none,-1,768,12,64,11,0.20197999591753418,0.20197999591753418,0.14072798056713184
protein,valid_long,5,6000,237713489,2.6015625,causal,none,-1,768,12,64,11,0.20587489219217694,0.20587489219217694,0.1459709210357698
protein,train,6,7000,277317608,2.6171875,causal,none,-1,768,12,64,11,,,
protein,valid_short,6,7000,277317608,2.6015625,causal,none,-1,768,12,64,11,0.20536667174874218,0.20536667174874218,0.1456661226144764
protein,valid_long,6,7000,277317608,2.609375,causal,none,-1,768,12,64,11,0.20267274765593152,0.20267274765593152,0.1432808354229166
protein,train,7,8000,316873237,2.6160625,causal,none,-1,768,12,64,11,,,
protein,valid_short,7,8000,316873237,2.59375,causal,none,-1,768,12,64,11,0.2051477694694542,0.2051477694694542,0.14543902060276045
protein,valid_long,7,8000,316873237,2.6015625,causal,none,-1,768,12,64,11,0.20458061734344485,0.20458061734344485,0.144182963977739
protein,train,8,9000,356507531,2.614203125,causal,none,-1,768,12,64,11,,,
protein,valid_short,8,9000,356507531,2.5859375,causal,none,-1,768,12,64,11,0.20901492231167632,0.20901492231167632,0.1480480192066754
protein,valid_long,8,9000,356507531,2.609375,causal,none,-1,768,12,64,11,0.20313114525316858,0.20313114525316858,0.14186426534253813
protein,train,9,10000,396143532,2.61315625,causal,none,-1,768,12,64,11,,,
protein,valid_short,9,10000,396143532,2.5859375,causal,none,-1,768,12,64,11,0.20707480235151024,0.20707480235151024,0.14609173399838957
protein,valid_long,9,10000,396143532,2.609375,causal,none,-1,768,12,64,11,0.20177428811787798,0.20177428811787798,0.1421099894756614
protein,train,10,11000,435778347,2.61209375,causal,none,-1,768,12,64,11,,,
protein,valid_short,10,11000,435778347,2.578125,causal,none,-1,768,12,64,11,0.2115680443031484,0.2115680443031484,0.1521139783964864
protein,valid_long,10,11000,435778347,2.6015625,causal,none,-1,768,12,64,11,0.20380881921502098,0.20380881921502098,0.14315151697589695
protein,train,11,12000,475451418,2.60928125,causal,none,-1,768,12,64,11,,,
protein,valid_short,11,12000,475451418,2.5859375,causal,none,-1,768,12,64,11,0.2076247525255089,0.2076247525255089,0.14904623897018535
protein,valid_long,11,12000,475451418,2.59375,causal,none,-1,768,12,64,11,0.20531548757170173,0.20531548757170173,0.14479750704832595
protein,train,12,13000,515055043,2.609953125,causal,none,-1,768,12,64,11,,,
protein,valid_short,12,13000,515055043,2.5859375,causal,none,-1,768,12,64,11,0.2124444898167526,0.2124444898167526,0.1519573589817474
protein,valid_long,12,13000,515055043,2.609375,causal,none,-1,768,12,64,11,0.2031922753560419,0.2031922753560419,0.1430569874248574
protein,train,13,14000,554698855,2.608765625,causal,none,-1,768,12,64,11,,,
protein,valid_short,13,14000,554698855,2.5859375,causal,none,-1,768,12,64,11,0.2072830552315261,0.2072830552315261,0.1468493410994226
protein,valid_long,13,14000,554698855,2.609375,causal,none,-1,768,12,64,11,0.20132580095172659,0.20132580095172659,0.14216189127736661
protein,train,14,15000,594251982,2.6070625,causal,none,-1,768,12,64,11,,,
protein,valid_short,14,15000,594251982,2.578125,causal,none,-1,768,12,64,11,0.20903356043401464,0.20903356043401464,0.14886295186364212
protein,valid_long,14,15000,594251982,2.59375,causal,none,-1,768,12,64,11,0.20474335472043997,0.20474335472043997,0.14468641466367047
protein,train,15,16000,633868779,2.606796875,causal,none,-1,768,12,64,11,,,
protein,valid_short,15,16000,633868779,2.5859375,causal,none,-1,768,12,64,11,0.2097173770160271,0.2097173770160271,0.14999814962104374
protein,valid_long,15,16000,633868779,2.6015625,causal,none,-1,768,12,64,11,0.201238114608227,0.201238114608227,0.1411048840804622
protein,train,16,17000,673525684,2.605578125,causal,none,-1,768,12,64,11,,,
protein,valid_short,16,17000,673525684,2.578125,causal,none,-1,768,12,64,11,0.21189085783326622,0.21189085783326622,0.15215934407693127
protein,valid_long,16,17000,673525684,2.609375,causal,none,-1,768,12,64,11,0.19920197219610136,0.19920197219610136,0.14019400790492026
protein,train,17,18000,713212112,2.604859375,causal,none,-1,768,12,64,11,,,
protein,valid_short,17,18000,713212112,2.59375,causal,none,-1,768,12,64,11,0.20937658388241256,0.20937658388241256,0.1492835625215763
protein,valid_long,17,18000,713212112,2.59375,causal,none,-1,768,12,64,11,0.20557623642026893,0.20557623642026893,0.14510858412698563
protein,train,18,19000,752794869,2.604703125,causal,none,-1,768,12,64,11,,,
protein,valid_short,18,19000,752794869,2.5703125,causal,none,-1,768,12,64,11,0.21748901828583103,0.21748901828583103,0.15833710903306258
protein,valid_long,18,19000,752794869,2.6015625,causal,none,-1,768,12,64,11,0.20160510785510785,0.20160510785510785,0.1426573291074407
protein,train,19,20000,792399283,2.603296875,causal,none,-1,768,12,64,11,,,
protein,valid_short,19,20000,792399283,2.5625,causal,none,-1,768,12,64,11,0.21804126350279016,0.21804126350279016,0.1580270614641554
protein,valid_long,19,20000,792399283,2.6015625,causal,none,-1,768,12,64,11,0.20698330410917132,0.20698330410917132,0.14760155688943016
protein,train,20,21000,832042000,2.601890625,causal,none,-1,768,12,64,11,,,
protein,valid_short,20,21000,832042000,2.59375,causal,none,-1,768,12,64,11,0.2123420301671423,0.2123420301671423,0.15281243708058193
protein,valid_long,20,21000,832042000,2.609375,causal,none,-1,768,12,64,11,0.20269893209547726,0.20269893209547726,0.14374978713981562
protein,train,21,22000,871698306,2.60153125,causal,none,-1,768,12,64,11,,,
protein,valid_short,21,22000,871698306,2.5625,causal,none,-1,768,12,64,11,0.21807395284611056,0.21807395284611056,0.15751035026111115
protein,valid_long,21,22000,871698306,2.6015625,causal,none,-1,768,12,64,11,0.20149579228243022,0.20149579228243022,0.14444298406274744
protein,train,22,23000,911298736,2.600921875,causal,none,-1,768,12,64,11,,,
protein,valid_short,22,23000,911298736,2.578125,causal,none,-1,768,12,64,11,0.2135469478807544,0.2135469478807544,0.1544787878758617
protein,valid_long,22,23000,911298736,2.609375,causal,none,-1,768,12,64,11,0.2019974840849312,0.2019974840849312,0.14234609890257033
protein,train,23,24000,950970623,2.597984375,causal,none,-1,768,12,64,11,,,
protein,valid_short,23,24000,950970623,2.5625,causal,none,-1,768,12,64,11,0.2179911418826045,0.2179911418826045,0.1580068887607605
protein,valid_long,23,24000,950970623,2.6015625,causal,none,-1,768,12,64,11,0.20522402336526074,0.20522402336526074,0.14580057981316497
protein,train,24,25000,990557045,2.59534375,causal,none,-1,768,12,64,11,,,
protein,valid_short,24,25000,990557045,2.5703125,causal,none,-1,768,12,64,11,0.2178288633461047,0.2178288633461047,0.158588948516547
protein,valid_long,24,25000,990557045,2.59375,causal,none,-1,768,12,64,11,0.20545324695199715,0.20545324695199715,0.1464509828032205
protein,train,25,25239,1000033895,2.5938807531380754,causal,none,-1,768,12,64,11,,,
protein,valid_short,25,25239,1000033895,2.578125,causal,none,-1,768,12,64,11,0.21848225214198286,0.21848225214198286,0.15825037255762614
protein,valid_long,25,25239,1000033895,2.6015625,causal,none,-1,768,12,64,11,0.20269115490083542,0.20269115490083542,0.14314884585038035
protein,train,0,1000,39601271,2.7530625,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,0,1000,39601271,2.6171875,dual_triangle,none,-1,768,12,128,11,0.2040446725022638,0.2040446725022638,0.14559357834065717
protein,valid_long,0,1000,39601271,2.6171875,dual_triangle,none,-1,768,12,128,11,0.19838981320812493,0.19838981320812493,0.1402826856014092
protein,train,1,2000,79271237,2.62125,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,1,2000,79271237,2.5859375,dual_triangle,none,-1,768,12,128,11,0.20736601473202945,0.20736601473202945,0.1482840589430277
protein,valid_long,1,2000,79271237,2.6015625,dual_triangle,none,-1,768,12,128,11,0.20145720884533425,0.20145720884533425,0.14355570289654793
protein,train,2,3000,118887464,2.607625,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,2,3000,118887464,2.578125,dual_triangle,none,-1,768,12,128,11,0.2079673135852911,0.2079673135852911,0.14876667550612657
protein,valid_long,2,3000,118887464,2.59375,dual_triangle,none,-1,768,12,128,11,0.20578696018591822,0.20578696018591822,0.14545657259652775
protein,train,3,4000,158506944,2.594796875,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,3,4000,158506944,2.5703125,dual_triangle,none,-1,768,12,128,11,0.21311893823379274,0.21311893823379274,0.15300383524261488
protein,valid_long,3,4000,158506944,2.5859375,dual_triangle,none,-1,768,12,128,11,0.20569377745989578,0.20569377745989578,0.14470619357136527
protein,train,4,5000,198135791,2.586828125,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,4,5000,198135791,2.5625,dual_triangle,none,-1,768,12,128,11,0.21600771456123433,0.21600771456123433,0.15603465457012877
protein,valid_long,4,5000,198135791,2.59375,dual_triangle,none,-1,768,12,128,11,0.2038531433872587,0.2038531433872587,0.1439461338421853
protein,train,5,6000,237713489,2.582515625,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,5,6000,237713489,2.5546875,dual_triangle,none,-1,768,12,128,11,0.21307249014255383,0.21307249014255383,0.15256236677433269
protein,valid_long,5,6000,237713489,2.6015625,dual_triangle,none,-1,768,12,128,11,0.20169759929055553,0.20169759929055553,0.14192652530989622
protein,train,6,7000,277317608,2.578296875,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,6,7000,277317608,2.5546875,dual_triangle,none,-1,768,12,128,11,0.21860871352240033,0.21860871352240033,0.1580737496612687
protein,valid_long,6,7000,277317608,2.59375,dual_triangle,none,-1,768,12,128,11,0.20759921694251646,0.20759921694251646,0.14603430044381296
protein,train,7,8000,316873237,2.57465625,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,7,8000,316873237,2.5546875,dual_triangle,none,-1,768,12,128,11,0.22050941758970957,0.22050941758970957,0.16187024393519145
protein,valid_long,7,8000,316873237,2.6015625,dual_triangle,none,-1,768,12,128,11,0.20271667666696455,0.20271667666696455,0.14314608869147136
protein,train,8,9000,356507531,2.571125,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,8,9000,356507531,2.546875,dual_triangle,none,-1,768,12,128,11,0.21980188011725463,0.21980188011725463,0.1612845977218632
protein,valid_long,8,9000,356507531,2.59375,dual_triangle,none,-1,768,12,128,11,0.20430763753798425,0.20430763753798425,0.14262219289319333
protein,train,9,10000,396143532,2.56809375,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,9,10000,396143532,2.546875,dual_triangle,none,-1,768,12,128,11,0.2200273514663425,0.2200273514663425,0.1597824086872203
protein,valid_long,9,10000,396143532,2.59375,dual_triangle,none,-1,768,12,128,11,0.20582887224546367,0.20582887224546367,0.14448385146577458
protein,train,10,11000,435778347,2.563765625,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,10,11000,435778347,2.5390625,dual_triangle,none,-1,768,12,128,11,0.22180223767765347,0.22180223767765347,0.16392467001758176
protein,valid_long,10,11000,435778347,2.6015625,dual_triangle,none,-1,768,12,128,11,0.20493754854152607,0.20493754854152607,0.14492361516379604
protein,train,11,12000,475451418,2.561203125,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,11,12000,475451418,2.546875,dual_triangle,none,-1,768,12,128,11,0.21841421805774813,0.21841421805774813,0.15799043046199995
protein,valid_long,11,12000,475451418,2.6015625,dual_triangle,none,-1,768,12,128,11,0.204367045194726,0.204367045194726,0.14328419968976622
protein,train,12,13000,515055043,2.55946875,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,12,13000,515055043,2.5390625,dual_triangle,none,-1,768,12,128,11,0.22628816064420773,0.22628816064420773,0.16775896595047735
protein,valid_long,12,13000,515055043,2.59375,dual_triangle,none,-1,768,12,128,11,0.20460702883526882,0.20460702883526882,0.1430354574659702
protein,train,13,14000,554698855,2.556109375,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,13,14000,554698855,2.53125,dual_triangle,none,-1,768,12,128,11,0.2250380904012189,0.2250380904012189,0.16713151655787103
protein,valid_long,13,14000,554698855,2.6171875,dual_triangle,none,-1,768,12,128,11,0.2001571450296548,0.2001571450296548,0.14031766553524808
protein,train,14,15000,594251982,2.552828125,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,14,15000,594251982,2.5234375,dual_triangle,none,-1,768,12,128,11,0.2247796524804835,0.2247796524804835,0.16576405982778863
protein,valid_long,14,15000,594251982,2.6171875,dual_triangle,none,-1,768,12,128,11,0.20120406786564335,0.20120406786564335,0.1408901163380189
protein,train,15,16000,633868779,2.548078125,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,15,16000,633868779,2.515625,dual_triangle,none,-1,768,12,128,11,0.2310108656470467,0.2310108656470467,0.17261542931300103
protein,valid_long,15,16000,633868779,2.6171875,dual_triangle,none,-1,768,12,128,11,0.2011253365848702,0.2011253365848702,0.1398964593720831
protein,train,16,17000,673525684,2.546890625,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,16,17000,673525684,2.515625,dual_triangle,none,-1,768,12,128,11,0.23284004242638517,0.23284004242638517,0.17571058792527836
protein,valid_long,16,17000,673525684,2.609375,dual_triangle,none,-1,768,12,128,11,0.20457877092123544,0.20457877092123544,0.14322622493604062
protein,train,17,18000,713212112,2.54221875,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,17,18000,713212112,2.53125,dual_triangle,none,-1,768,12,128,11,0.22402057177431553,0.22402057177431553,0.16580241425693334
protein,valid_long,17,18000,713212112,2.609375,dual_triangle,none,-1,768,12,128,11,0.20409351543612267,0.20409351543612267,0.14283677204869155
protein,train,18,19000,752794869,2.54034375,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,18,19000,752794869,2.5078125,dual_triangle,none,-1,768,12,128,11,0.2355553312812232,0.2355553312812232,0.17882623991147023
protein,valid_long,18,19000,752794869,2.671875,dual_triangle,none,-1,768,12,128,11,0.19919364040926552,0.19919364040926552,0.13863056432332807
protein,train,19,20000,792399283,2.536859375,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,19,20000,792399283,2.5,dual_triangle,none,-1,768,12,128,11,0.23485691172009304,0.23485691172009304,0.17768670321554283
protein,valid_long,19,20000,792399283,2.7578125,dual_triangle,none,-1,768,12,128,11,0.19442301612393298,0.19442301612393298,0.13267871072153312
protein,train,20,21000,832042000,2.532953125,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,20,21000,832042000,2.5078125,dual_triangle,none,-1,768,12,128,11,0.23624133713819812,0.23624133713819812,0.17828932214097812
protein,valid_long,20,21000,832042000,2.65625,dual_triangle,none,-1,768,12,128,11,0.1995825325510061,0.1995825325510061,0.13784375343057226
protein,train,21,22000,871698306,2.530265625,dual_triangle,none,-1,768,12,128,11,,,
protein,valid_short,21,22000,871698306,2.5,dual_triangle,none,-1,768,12,128,11,0.23685806712494945,0.23685806712494945,0.1788494943409486
