phase,split,eval_idx,global_step,tokens_seen,loss,attention_type,positional_mode,drop_positions_tokens,hidden_size,n_layers,head_size,seed,acc,f1,mcc
protein,train,0,1000,39601271,2.762359375,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,0,1000,39601271,2.625,bidirectional,rotary,-1,768,12,64,11,0.20046373305106105,0.20046373305106105,0.14037379146870343
protein,valid_long,0,1000,39601271,2.6171875,bidirectional,rotary,-1,768,12,64,11,0.20241003506195968,0.20241003506195968,0.14191009268717705
protein,train,1,2000,79271237,2.641078125,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,1,2000,79271237,2.59375,bidirectional,rotary,-1,768,12,64,11,0.20465518117599227,0.20465518117599227,0.145163179696363
protein,valid_long,1,2000,79271237,2.609375,bidirectional,rotary,-1,768,12,64,11,0.2021974104676181,0.2021974104676181,0.1427804199474595
protein,train,2,3000,118887464,2.6076875,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,2,3000,118887464,2.578125,bidirectional,rotary,-1,768,12,64,11,0.21031705576511367,0.21031705576511367,0.15188961074810023
protein,valid_long,2,3000,118887464,2.59375,bidirectional,rotary,-1,768,12,64,11,0.2047739334558073,0.2047739334558073,0.14543488672717592
protein,train,3,4000,158506944,2.58921875,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,3,4000,158506944,2.5546875,bidirectional,rotary,-1,768,12,64,11,0.21692478995849782,0.21692478995849782,0.15834210153958575
protein,valid_long,3,4000,158506944,2.59375,bidirectional,rotary,-1,768,12,64,11,0.20522879157668766,0.20522879157668766,0.1447602813546779
protein,train,4,5000,198135791,2.57921875,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,4,5000,198135791,2.5390625,bidirectional,rotary,-1,768,12,64,11,0.22243713733075435,0.22243713733075435,0.16304133946104526
protein,valid_long,4,5000,198135791,2.5859375,bidirectional,rotary,-1,768,12,64,11,0.20706348192617194,0.20706348192617194,0.1482851128018068
protein,train,5,6000,237713489,2.571375,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,5,6000,237713489,2.5390625,bidirectional,rotary,-1,768,12,64,11,0.22399350154845915,0.22399350154845915,0.16604240283266827
protein,valid_long,5,6000,237713489,2.578125,bidirectional,rotary,-1,768,12,64,11,0.2112645635076931,0.2112645635076931,0.15186458463608565
protein,train,6,7000,277317608,2.565640625,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,6,7000,277317608,2.5390625,bidirectional,rotary,-1,768,12,64,11,0.22414053455478936,0.22414053455478936,0.16540828037710584
protein,valid_long,6,7000,277317608,2.5703125,bidirectional,rotary,-1,768,12,64,11,0.21356340798071433,0.21356340798071433,0.15304930569827568
protein,train,7,8000,316873237,2.557953125,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,7,8000,316873237,2.53125,bidirectional,rotary,-1,768,12,64,11,0.22813938198553582,0.22813938198553582,0.1701295399670748
protein,valid_long,7,8000,316873237,2.5625,bidirectional,rotary,-1,768,12,64,11,0.21736036997509783,0.21736036997509783,0.1576223426440011
protein,train,8,9000,356507531,2.550875,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,8,9000,356507531,2.5234375,bidirectional,rotary,-1,768,12,64,11,0.2292864045572453,0.2292864045572453,0.17118251901140652
protein,valid_long,8,9000,356507531,2.5625,bidirectional,rotary,-1,768,12,64,11,0.2203137144968718,0.2203137144968718,0.1617192679471559
protein,train,9,10000,396143532,2.545484375,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,9,10000,396143532,2.515625,bidirectional,rotary,-1,768,12,64,11,0.22819028441983388,0.22819028441983388,0.17137590707231426
protein,valid_long,9,10000,396143532,2.5546875,bidirectional,rotary,-1,768,12,64,11,0.2190668855045358,0.2190668855045358,0.160170056016693
protein,train,10,11000,435778347,2.539453125,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,10,11000,435778347,2.515625,bidirectional,rotary,-1,768,12,64,11,0.22751214523139862,0.22751214523139862,0.17040356835232412
protein,valid_long,10,11000,435778347,2.5625,bidirectional,rotary,-1,768,12,64,11,0.21669341894060995,0.21669341894060995,0.1581195097374275
protein,train,11,12000,475451418,2.535296875,bidirectional,rotary,-1,768,12,64,11,,,
protein,valid_short,11,12000,475451418,2.5078125,bidirectional,rotary,-1,768,12,64,11,0.23278572152925667,0.23278572152925667,0.17590314684491137
protein,valid_long,11,12000,475451418,2.5625,bidirectional,rotary,-1,768,12,64,11,0.22054307521757413,0.22054307521757413,0.1607609142381488
